Detailed Statistics Departures  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Airport Houston, TX George Bush Intercontinental/Houston (IAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline Frontier Airlines Inc. (F9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month(s) January, February, March, April, May, June, July, August, September, October, November, and December,,,,,,,,,,,,,,,,,,
Day(s) 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29, 30 and 31
Year(s) 2019, 2020 and 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),,,,,,,,,,,,,
F9,5/16/19,2138,N312FR,MCO,1646,1650,145,130,4,1702,12,0,0,0,0,0,,,,,,,,,,,,,
F9,5/16/19,243,N941FR,DEN,1759,1750,153,157,-9,1759,9,0,0,0,0,0,,,,,,,,,,,,,
F9,5/16/19,2139,N228FR,LAS,2259,2249,202,188,-10,2301,12,0,0,0,0,0,,,,,,,,,,,,,
F9,5/17/19,245,N233FR,DEN,515,511,153,133,-4,524,13,0,0,0,0,0,,,,,,,,,,,,,
F9,5/17/19,1618,N351FR,RDU,852,847,168,155,-5,857,10,0,0,0,0,0,,,,,,,,,,,,,
F9,5/17/19,243,N943FR,DEN,1759,1806,153,140,7,1825,19,0,0,0,0,0,,,,,,,,,,,,,
F9,5/17/19,2318,N303FR,PHL,2356,045,201,186,49,057,12,0,0,0,0,34,,,,,,,,,,,,,
F9,5/18/19,245,N335FR,DEN,515,512,153,138,-3,526,14,0,0,0,0,0,,,,,,,,,,,,,
F9,5/18/19,243,N910FR,DEN,1759,1837,153,244,38,1922,45,2,0,91,0,36,,,,,,,,,,,,,
F9,5/19/19,245,N326FR,DEN,515,508,153,148,-7,519,11,0,0,0,0,0,,,,,,,,,,,,,
F9,5/19/19,2138,N349FR,MCO,1646,1859,145,134,133,1911,12,0,0,0,0,122,,,,,,,,,,,,,
F9,5/19/19,243,N910FR,DEN,1759,1756,153,142,-3,1809,13,0,0,0,0,0,,,,,,,,,,,,,
F9,5/19/19,2139,N332FR,LAS,2259,2245,202,202,-14,2307,22,0,0,0,0,0,,,,,,,,,,,,,
F9,5/20/19,245,N342FR,DEN,515,513,153,156,-2,529,16,0,0,0,0,0,,,,,,,,,,,,,
